userId,followers,friends,statuses,listed,favourites
807095,26530592,987,226905,175903,10760
87818409,5460505,1111,233888,46513,142
1906234147,3695860,5615,13546,10863,100
51241574,7429553,7292,138506,77970,3
5988062,13794940,150,67123,102278,41
15846407,57705954,36472,12178,104941,302
243287822,1344849,177,11246,4314,3327
618336955,3114880,42973,18410,7515,5137
30974408,1571213,30642,24179,6774,3453
126370504,1665584,8114,5364,6334,474
144884794,637620,972,17203,3199,918
14412533,304703,2353,80886,7847,108
16343974,1705603,588,245048,13344,8
10876852,1653825,1178,109777,31868,2215
1917731,702700,460,180149,16557,26
14677919,6281992,388,37010,58043,239
16973333,1881839,1070,355866,17306,10
30313925,9972644,223,24478,65546,0
14075928,9009001,15,43471,74917,4
255388236,3618097,1150,2200,6627,214
122539413,197832,20270,46843,579,5237
38647512,1688935,729,192409,3378,371
352145373,5160171,500,32757,10787,338
176566242,18663923,2214,2970,130165,87
158414847,4171398,303,9651,36368,34
6107422,777924,597,137421,7645,1709
39360648,1585714,428,45353,6373,256
16225240,462795,707,22486,4289,8619
1344919338,223139,299,11270,1360,2469
95064543,110297,465,22789,1965,11
2830700817,20339,39,21537,97,104
331672974,532918,6164,31155,1709,12134
495074577,1637427,17766,9045,6317,10178
14377605,492141,1106,17477,7853,0
17243213,2741439,19812,25518,9111,960
23995748,255749,14463,72839,4039,3368
158314798,22621891,16967,9199,107876,250
128155589,5086951,184,5034,26772,22
25690886,140491,1930,37224,3870,531
216444984,4183860,6778,53600,7713,1907
200163448,1368968,924,8762,8957,2774
95431448,464182,1222,161976,8540,216
55246492,205965,755,29049,1819,3919
65184105,4216449,201,95597,11834,7849
16027904,413769,755,77390,8383,6802
1525376270,142351,192,18180,746,7535
472122299,329343,1509,250053,1042,2621
14811775,104731,4497,25913,1699,20875
28917111,21950,1300,8159,901,14311
4647945397,34503,40,1325,91,212
17057271,1153079,1351,18368,16255,5999
14724725,1137027,2566,10529,2248,2502
14871898,370474,773,12323,2159,6490
78012548,53763,62,83366,2497,436
14055301,1376303,5886,18485,9465,17824
217518231,1854136,70,10777,6571,45693
32359921,1709664,157,54359,18802,66
19661294,2803270,17,641,16148,0
3160127563,30794,82,1049,105,48
3241064373,136195,28,661,870,457
20758087,156177,2141,114704,5358,4326
22048574,57457,9781,8144,580,3468
337327788,145752,20240,59805,402,71374
1499636930,404200,181,3079,1398,3322
17898494,144735,2653,32575,2006,2092
109184306,502358,294,3422,3300,791
246981058,901219,40,5693,567,513
297589557,48992,22,3393,300,99
18742360,140869,15519,116476,3778,13425
33998183,544086,619,5442,8803,294
9609632,522858,456,102192,4953,206
52833129,912584,6509,363409,1383,535
20998647,1183394,6808,63149,13505,5963
393852070,1937430,40,38079,5235,180
432557320,123941,576,101941,2490,337
20689749,295781,378,73446,2494,643
265758015,191245,888,26776,4193,869
23505298,551740,9,665,3292,0
16955870,155904,344,19019,5567,323
3911239745,37474,668,10894,153,31847
2835886194,181703,220,2342,1305,769
22151193,676324,814,15688,7263,874
15529670,166558,14323,21367,3041,873
24529777,2146966,407,6111,9653,2
211620426,274378,18605,154313,3342,17394
19266754,186272,152,4534,404,177781
31176167,172903,399,65214,2719,2611
97087063,20617,3699,77809,576,16
28576135,174671,227,3646,4784,0
11856892,239568,848,19255,5462,499
2982269822,102879,167,54286,470,100
415605847,211802,1691,6529,1507,25049
948444535,1037738,47,1526,3200,75
18722606,107368,1859,24438,780,10278
